매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
1,기타,0,경산시 다문로 98,35.87582039999999,128.8215743,602,0,8,1,0,0,1,영남대,7588.913648000592,0,0,0,0,0,0,0,0
1,음식점,1,경산시 경산로42길 14-3,35.8270057,128.7276799,125,2,11,9,0,1,1,정평,925.2498652375843,0,1,4,5,0,0,0,0
1,미용,2,경산시 펜타힐즈2로 17,35.8267867,128.7168252,81,1,11,2,0,0,1,정평,1871.041381265905,0,1,2,9,0,0,0,0
1,운송업,3,경산시 국채보상로34길 12,35.8671819,128.5479376,0,0,15,0,0,0,0,사월,10961.157077578458,0,0,0,0,0,0,0,0
1,서비스,4,경산시 환성로 319-6,35.9327607,128.7732679,22,0,0,0,0,0,0,영남대,10853.64093382232,0,0,0,0,0,0,0,0
1,제조업,5,경산시 대학로298길 18,35.9118393,128.8251,217,1,6,0,5,0,1,영남대,10611.368593317804,0,2,0,0,0,0,0,0
1,운송업,3,경산시 장산로25길 21,35.8204303,128.7386744,136,1,10,8,0,1,0,정평,422.4239500381566,1,4,0,6,0,0,0,1
1,음식점,1,경산시 원효로32길 17,35.8193871,128.7535502,162,0,16,1,0,1,1,정평,1560.7990182014555,0,0,0,0,0,0,0,1
1,소매업,6,경산시 대학로 1543,35.9155381,128.8195564,204,1,15,0,5,0,3,영남대,10647.592476078227,0,1,0,0,0,0,0,1
1,미용,2,경산시 삼성현로15길 32,35.8251735,128.7197332,84,0,19,2,0,0,1,정평,1588.461202030711,0,1,0,3,0,0,0,0
1,미용,2,경산시 문화로 18,35.9107575,128.812844,128,1,10,0,5,0,0,영남대,9869.624297297478,0,1,0,0,0,0,1,0
1,음식점,1,경산시 백자로 58,35.8110693,128.7544384,113,0,16,0,0,1,2,정평,2118.3985883319992,0,1,2,0,0,0,1,0
1,기타,0,경산시 경산로16길 2-8,35.8155042,128.7315089,148,1,12,3,0,1,4,정평,1082.0668022994028,0,1,0,3,0,0,0,1
1,음식점,1,경산시 경안로31길 6,35.821067,128.7372437,135,1,13,10,0,1,0,정평,331.9378107483851,1,4,0,8,0,0,0,0
1,도매업,7,경산시 하양로 494,35.9270831,128.8574421,163,0,5,0,0,0,0,영남대,13797.28922241275,0,0,0,0,0,0,0,0
1,운송업,3,경산시 봉황길 72,35.8833698,128.8258914,520,0,4,0,0,0,1,영남대,8403.10156394219,0,1,0,0,0,0,0,0
1,제조업,5,경산시 낙산길 13,35.875577,128.8129339,593,0,8,1,0,0,3,영남대,6949.176580153838,0,1,1,0,0,0,0,0
1,미용,2,경산시 원효로32길 29,35.8182038,128.7528135,142,0,20,1,0,1,1,정평,1548.509112546282,0,0,0,0,0,0,0,1
1,운송업,3,경산시 성암로13길 29-1,35.8255827,128.7222812,99,1,17,2,0,0,1,정평,1363.9130446795612,0,2,1,5,0,0,0,0
1,운송업,3,경산시 삼성현로31길 12,35.8183528,128.7223433,87,1,12,3,0,0,1,정평,1489.118077456376,0,0,1,1,0,0,0,0
1,운송업,3,경산시 성암로 26,35.8216335,128.7211354,88,1,18,2,0,0,1,정평,1481.6015151328584,0,1,1,1,0,0,0,0
1,교육,8,경산시 대학로305길 17,35.9131224,128.8195133,202,1,18,0,5,0,2,영남대,10425.306438150354,0,1,0,0,0,0,0,1
1,소매업,6,경산시 대학로 1529,35.9144156,128.8206113,213,1,13,0,5,0,1,영남대,10599.686795383052,0,3,0,0,0,0,0,1
1,음식점,1,경산시 백양로33길 16,35.812521,128.7598671,129,0,17,2,0,1,2,정평,2411.06587113161,0,2,2,0,0,0,0,1
1,교육,8,경산시 대학로296길 9-10,35.9107304,128.8252251,214,1,6,0,5,0,1,영남대,10521.547295278173,0,2,0,0,0,0,0,0
1,음식점,1,경산시 공단2로7길 8,35.8722489,128.8227012,652,0,6,1,0,0,1,영남대,7453.273532017509,0,2,1,0,0,0,0,0
1,운송업,3,경산시 펜타힐즈2로 60,35.8290539,128.7215163,97,1,13,4,0,0,1,정평,1526.6434165527846,0,3,2,5,0,0,0,0
1,음식점,1,경산시 장산로29길 8-8,35.8190916,128.7410203,144,1,8,8,0,1,1,정평,647.5254321129364,0,2,0,2,0,0,0,1
1,도매업,7,경산시 교촌길9길 4,35.8228835,128.82744,276,0,9,0,0,0,1,영남대,6893.460584058529,0,2,0,0,0,0,1,0
1,제조업,5,경산시 압독2로8길 26-4,35.8391936,128.7645569,356,0,14,0,0,1,1,영남대,1094.1228378938492,0,3,0,0,0,0,0,0
1,운송업,3,경산시 계전길13길 36-27,35.9584103,128.8412142,130,0,0,0,0,0,0,영남대,15713.410523147768,0,0,0,0,0,0,0,0
1,제조업,5,경산시 당곡1길 41,35.8547445,128.8102007,684,0,2,0,0,0,1,영남대,5559.19867407097,0,0,0,0,0,0,0,0
1,도매업,7,경산시 경안로31길 10,35.821007,128.7367069,135,2,11,10,0,1,0,정평,342.24176297231213,1,4,0,8,0,0,0,0
1,기타,0,경산시 성암로21길 73,35.8302063,128.7248267,120,2,22,4,0,0,0,정평,1314.2222853281116,0,2,4,5,0,0,0,0
1,소매업,6,경산시 김유신로 11,35.838313,128.7683732,345,0,10,0,0,1,1,영남대,1409.3455092452537,0,3,0,0,0,0,0,0
1,운송업,3,경산시 성암로1길 22-9,35.8237744,128.7174411,83,0,14,2,0,0,1,정평,1791.0511481571284,0,1,0,3,0,0,0,0
1,제조업,5,경산시 계전길9길 105-8,35.9620909,128.8324742,168,0,3,0,0,0,0,영남대,15690.351963302566,0,0,0,0,0,0,0,0
1,소매업,6,경산시 백양로33길 11-5,35.8128383,128.7589809,129,0,19,2,0,1,2,정평,2324.5394196908023,0,2,3,0,0,0,0,1
1,기타,0,경산시 금송로 68,35.918501,128.8196188,202,2,10,0,5,0,2,영남대,10923.511481689073,0,0,0,0,0,0,0,0
1,운송업,3,경산시 삼성현로91길 45,35.8108303,128.7524545,118,0,14,1,0,1,1,정평,2010.023755403787,0,1,2,0,0,0,1,0
1,소매업,6,경산시 중앙초등길 67,35.8273077,128.7336348,129,2,6,9,6,1,1,정평,487.01563044870994,1,3,2,7,0,0,0,0
1,제조업,5,경산시 공단4로40길 39,35.8750856,128.8328786,602,0,6,0,0,0,0,영남대,8401.408738569002,0,0,0,0,0,0,0,0
1,소매업,6,경산시 관방로 997,35.758415,128.7656521,37,0,4,0,0,0,0,정평,7722.5490030102,0,0,0,0,0,0,0,0
1,운송업,3,경산시 장산로29길 10,35.8194173,128.7406816,144,1,9,8,0,1,1,정평,600.740874580012,0,2,0,3,0,0,0,1
1,미용,2,경산시 경청로221길 9,35.80429549999999,128.7380581,140,0,23,1,0,1,1,정평,2194.016207641324,0,0,1,0,0,1,0,0
1,도매업,7,경산시 하양로 250,35.9189502,128.8328571,214,0,4,0,0,0,0,영남대,11664.250393930322,0,0,0,0,0,0,0,0
1,기타,0,경산시 성동로 13,35.83569,128.7251815,115,3,20,3,0,0,0,임당,1451.682684427214,0,1,2,3,0,0,0,0
1,교육,8,경산시 남하제방길 270-7,35.8708381,128.7653783,98,0,0,0,0,0,0,영남대,3987.8592978729657,0,0,0,0,0,0,0,0
1,기타,0,경산시 금송로 400,35.9448693,128.8358399,237,0,4,0,0,0,0,영남대,14176.8782713486,0,1,0,0,0,0,0,0
1,소매업,6,경산시 경안로 174,35.8230289,128.7376931,133,2,11,10,0,1,0,정평,120.81236428383366,1,5,1,7,0,0,0,0
1,기타,0,경산시 대학로 938,35.8746173,128.7997533,504,0,7,0,0,0,0,영남대,5991.176820854696,0,0,0,0,0,0,0,0
1,운송업,3,경산시 시천1길 2-2,35.9332456,128.8480109,226,0,4,0,0,0,0,영남대,13756.867825888272,0,0,0,0,0,0,0,0
1,소매업,6,경산시 중앙로 39,35.8217788,128.7314661,128,2,10,9,0,1,2,정평,581.3478562488127,0,3,0,8,0,0,0,0
1,소매업,6,경산시 하양로27길 10-2,35.9155582,128.8207371,214,1,15,0,5,0,1,영남대,10710.004416320811,0,3,0,0,0,0,0,1
1,소매업,6,경산시 중앙로 39,35.8217788,128.7314661,128,2,10,9,0,1,2,정평,581.3478562488127,0,3,0,8,0,0,0,0
1,음식점,1,경산시 경안로39길 41,35.8227705,128.7330776,129,2,8,9,0,1,1,정평,403.9338470778877,1,3,2,8,0,0,0,0
1,서비스,4,경산시 대학로9길 7-5,35.8349785,128.726807,116,3,19,3,6,0,1,임당,1297.470148955928,0,1,2,3,0,0,0,0
1,기타,0,경산시 자인로7길 8-4,35.8243377,128.8230485,298,0,9,0,0,0,3,영남대,6471.457704090902,0,3,0,0,0,0,1,0
1,소매업,6,경산시 경안로 288,35.8328119,128.7356657,134,2,11,4,6,1,1,임당,511.772062526905,0,0,0,0,0,0,0,0
1,기타,0,경산시 봉황길 8-4,35.8837868,128.818972,482,0,10,1,0,0,1,영남대,7953.221786873944,0,1,0,0,0,0,0,0
1,교육,8,경산시 대학로295길 26,35.9098568,128.8208009,192,1,11,0,5,0,2,영남대,10200.86781126145,0,1,0,0,0,0,0,1
1,음식점,1,경산시 청운로 23-1,35.8377321,128.7532026,320,0,4,1,0,1,0,영남대,155.1050123132731,1,3,0,0,0,0,0,0
1,기타,0,경산시 대학로 936,35.8744874,128.7994907,502,0,7,0,0,0,0,영남대,5964.233910551925,0,0,0,0,0,0,0,0
1,운송업,3,경산시 원효로22길 22,35.8212715,128.7487345,158,0,14,2,0,1,3,정평,1082.1569353561028,0,0,0,0,0,0,0,1
1,소매업,6,경산시 하양로25길 27-4,35.9155012,128.8181344,193,2,16,0,5,0,3,영남대,10572.194568802388,0,1,0,0,0,0,0,1
1,기타,0,경산시 대학로16길 53,35.8292188,128.7307988,125,2,8,9,6,1,2,정평,817.6348230596404,0,3,5,5,0,0,0,0
1,기타,0,경산시 임당로15길 5,35.8425957,128.742529,190,1,8,0,0,0,1,임당,956.6590062606728,0,0,0,0,0,0,0,0
1,제조업,5,경산시 하양로27길 10-6,35.9157706,128.820841,214,1,15,0,5,0,1,영남대,10734.70313784389,0,3,0,0,0,0,0,0
1,기타,0,경산시 강변서로 183,35.8239482,128.7293038,128,2,9,9,0,1,2,정평,718.9196855844646,0,2,3,5,0,0,0,0
1,기타,0,경산시 대구대로60길 6-1,35.8936841,128.8525586,335,0,4,0,0,0,0,영남대,11017.604716678325,0,0,0,0,0,1,0,0
1,음식점,1,경산시 경산로16길 15,35.8166258,128.7326085,143,1,12,6,0,1,4,정평,925.5945385790752,0,2,0,3,0,0,0,1
1,소매업,6,경산시 성암로13길 4-2,35.8236767,128.7236229,124,1,16,3,0,1,2,정평,1232.8923890856408,0,2,1,2,0,0,0,0
1,운송업,3,경산시 조산로 26,35.8463103,128.7608236,323,0,10,0,0,0,1,영남대,1313.89188178062,0,2,0,0,0,0,0,0
