위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,0,0,0,0
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,0,0,0,0
35.82546,128.715962,80,0,11,0,0,0,1,사월,1278.1471141326788,0,1,1,7,0,0,0,0
35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,0,0,0,0
35.826409,128.715629,78,0,12,0,0,0,1,사월,1172.4820660427104,0,0,1,7,0,0,0,0
35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,0,0,0,0
35.826409,128.715629,78,0,12,0,0,0,1,사월,1172.4820660427104,0,0,1,7,0,0,0,0
35.824241,128.715612,79,0,10,0,0,0,1,사월,1413.0343379781034,0,1,0,5,0,0,0,0
35.826409,128.715629,78,0,12,0,0,0,1,사월,1172.4820660427104,0,0,1,7,0,0,0,0
35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,0,0,0,0
