id,group_id,latitude,longitude,num_of_company,num_of_large,num_of_bus_stop,num_of_hospital,num_of_theather,num_of_camp,num_of_school,nearest_subway_name,nearest_subway_distance,num_of_subway,num_of_gvn_office,parks_within_500m,parking_lots_within_500m,industry_category,avg_sales_level
2789,1,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,음식점,2.54
2823,1,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,음식점,2.43
2816,1,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,음식점,2.58
2789,2,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,미용,1.0
2823,2,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,미용,1.0
2816,2,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,미용,1.0
2789,3,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,서비스,3.67
2823,3,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,서비스,4.5
2816,3,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,서비스,3.67
2789,4,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,소매업,3.81
2823,4,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,소매업,3.88
2816,4,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,소매업,3.71
2789,5,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,도매업,3.71
2823,5,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,도매업,4.12
2816,5,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,도매업,3.71
2789,6,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,교육,3.0
2823,6,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,교육,1.22
2816,6,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,교육,3.0
2789,7,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,유흥주점,2.0
2823,7,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,유흥주점,2.0
2816,7,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,유흥주점,2.0
2789,8,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,의료,5.9
2823,8,35.914251,128.822608,227,1,12,0,1,0,2,영남대,10724.658634850395,0,3,0,0,의료,5.39
2816,8,35.917156,128.823415,223,1,13,0,1,0,0,영남대,11028.626092959594,0,2,0,0,의료,5.29
2789,9,35.91668,128.823615,228,1,12,0,1,0,0,영남대,10996.198596941873,0,2,0,0,카페 및 베이커리,2.0
