건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,총점
434,,1.16501E+24,,서울특별시 서초구 청계산로 434,137180,6802,,,,127.0708927,37.43044833,50
421,,1.16501E+24,,서울특별시 서초구 청계산로 421,137180,6802,,,,127.070821,37.43167322,20
397,,1.16501E+24,,서울특별시 서초구 청계산로 397,137180,6802,,,,127.068172,37.43298595,13
28,,1.15451E+24,,서울특별시 금천구 삼성산길 28,153862,8654,,1,,126.9064193,37.43384375,29
11,,1.15451E+24,위너스타워,서울특별시 금천구 삼성산길 11,153862,8654,,,,126.9048111,37.43409918,91
11,,1.15451E+24,위너스타워,서울특별시 금천구 삼성산길 11,153862,8654,,1,,126.9048111,37.43409918,24
11,,1.15451E+24,위너스타워,서울특별시 금천구 삼성산길 11,153862,8654,,2,,126.9048111,37.43409918,57
11,,1.15451E+24,위너스타워,서울특별시 금천구 삼성산길 11,153862,8654,,3,,126.9048111,37.43409918,100
11,,1.15451E+24,위너스타워,서울특별시 금천구 삼성산길 11,153862,8654,,,,126.9048111,37.43409918,37
11,,1.15451E+24,위너스타워,서울특별시 금천구 삼성산길 11,153862,8654,,1,,126.9048111,37.43409918,96
9,,1.15451E+24,,서울특별시 금천구 삼성산길 9,153862,8654,,,,126.9045055,37.43413239,23
9,,1.15451E+24,,서울특별시 금천구 삼성산길 9,153862,8654,,1,,126.9045055,37.43413239,24
9,,1.15451E+24,,서울특별시 금천구 삼성산길 9,153862,8654,,,,126.9045055,37.43413239,54
9,,1.15451E+24,,서울특별시 금천구 삼성산길 9,153862,8654,,1,,126.9045055,37.43413239,94
9,,1.15451E+24,,서울특별시 금천구 삼성산길 9,153862,8654,,1,,126.9045055,37.43413239,19
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,2,,126.9042226,37.4341568,90
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,1,,126.9042226,37.4341568,28
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,3,,126.9042226,37.4341568,74
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,1,,126.9042226,37.4341568,62
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,1,,126.9042226,37.4341568,31
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,2,,126.9042226,37.4341568,57
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,1,,126.9042226,37.4341568,93
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,,,126.9042226,37.4341568,30
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,3,,126.9042226,37.4341568,69
7,,1.15451E+24,,서울특별시 금천구 삼성산길 7,153862,8654,,1,,126.9042226,37.4341568,85
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,1,,126.9038823,37.43425276,94
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,1,,126.9038823,37.43425276,19
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,,,126.9038823,37.43425276,78
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,3,,126.9038823,37.43425276,85
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,,,126.9038823,37.43425276,42
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,2,,126.9038823,37.43425276,16
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,1,,126.9038823,37.43425276,98
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,2,,126.9038823,37.43425276,18
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,1,,126.9038823,37.43425276,78
3,,1.15451E+24,,서울특별시 금천구 삼성산길 3,153862,8654,,1,,126.9038823,37.43425276,83
8,63,1.15451E+24,,서울특별시 금천구 시흥대로2길 8-63,153862,8654,,1,,126.9041869,37.43428262,85
6,,1.15451E+24,,서울특별시 금천구 시흥대로 6,153862,8654,,1,,126.9035201,37.43429445,1
6,,1.15451E+24,,서울특별시 금천구 시흥대로 6,153862,8654,,1,,126.9035201,37.43429445,28
6,,1.15451E+24,,서울특별시 금천구 시흥대로 6,153862,8654,,,,126.9035201,37.43429445,6
